ID	CLASS	OWNER	JUSTIFICATION	FLAG
A-EM	THEOREM	ASSEMBLED (Z2 lattice-gauge chain complex is Wegner/Wilson + Kitaev; the "EM supplies its OWN complex" consolidation is original)	rests on Thm B(ii) plus G-9's exact match; the identification d1=Gauss, d2=plaquette is a proved structural statement
A-GR	THEOREM	ASSEMBLED (2^2g degeneracy is Kitaev, non-local logicals and order-d protection are standard QEC; the R1-R3 functional packaging is original)	warranted by written Thms A, B(iii), C, D covering all instances of the stipulated clauses
A-AL	MEASURED	ASSEMBLED (order-n* perturbative splitting is standard degenerate perturbation theory / Knill-Laflamme; the n*-vs-d separation measurement is original)	exponents 2.0211/3.0036/4.9836 etc are numerical fits on three small carriers from which the general n* law is inferred
A-EM2	EXACT	ASSEMBLED (toric-code logicals being Wilson loops is Kitaev; the exhaustive 252-Pauli enumeration and minimal-coupling framing are original)	exhaustive enumeration of all weight-2 Paulis on one finite carrier, zero exceptions, no error bar
A-EM3	MEASURED	ORIGINAL	a general same-kind identification inferred from three independent finite results (Thm B ii, W-62, f10c), not itself proved
A-EM4	EXACT	ASSEMBLED (d=L is Kitaev's toric distance; the extent/fraction/local-content triple is original)	closed forms checked exactly against GF(2) ranks at L=2..5; the all-L wording slightly outruns the verified range	minor: general-L claim rests on closed forms verified only at L=2-5
A-GR2	DEFINED	ORIGINAL	a programmatic position ("classical gravity is what Gamma becomes at scale") — an aim, not a provable or computed statement; the O-20 evidence supports only the discriminator clause	STATUS: a program-claim row sitting at FORMAL; GROUNDED "established" misdescribes an aspiration
C-1	THEOREM	ORIGINAL	forward direction proved (P-1) and the repaired converse is C-12's theorem; general over the clause framework
C-3	THEOREM	ASSEMBLED (1-form-symmetry protection and order-d splitting are standard [Bravyi-Terhal-type]; Thm D is the program's own written proof)	Thm D is a written proof; the slope 2.000 is corroboration
C-4	EXACT	ORIGINAL	the necessity-withdrawal is established by 5 explicit finite counterexamples with verified writers — exact constructions, and a counterexample validly kills the general necessity claim
C-5	THEOREM	BORROWED (Kitaev — toric-code ground degeneracy 2^2g; area-independence is topological degeneracy lore)	Thm A is a written proof; content is a standard restatement in record vocabulary
C-6	THEOREM	ASSEMBLED (existence/non-locality of logicals is standard stabiliser QEC [Bravyi-Terhal cleaning-lemma territory]; the homological-pairing proof route per G-13 is universal coefficients)	Thm B is a written proof valid for all carriers in scope
C-7	THEOREM	BORROWED (Knill-Laflamme / standard code distance — weight<d operators act trivially)	Thm C is a written proof; content is the standard distance guarantee restated
