STATUS	MEANING
PROVED	a test ANY PHYSICIST ANYWHERE can run against THEIR OWN real-world data and confirm works as asserted (the principal, 2026-08-20). Names the measurable quantity, the predicted value, and what would falsify it
DERIVED	follows from PROVED rows; no independent proof of its own
MEASURED	numerically established across a sweep; no proof
PARTIAL	one direction proved, the other open — named in BLOCKED_BY
CANDIDATE	assembled and coherent; not yet proved as a whole
DEFINED	a construction or definition, not a claim that can be true or false
OPEN	unsolved, route identified, solvable in this program
BLOCKED	unsolved, no route identified from here
FAILED	tested and did not hold; the negative result is registered
WITHDRAWN	was claimed by this program, since retracted
RECLASSIFIED	was on a defect list, since judged not a defect
NOT OURS	well-posed, but belongs to another program or to the wider field
FORMAL	established about the program's own STIPULATED definition -- theorem, exact computation or sweep -- with NO contact with any real record. Real mathematics; not PROVED in this program's sense. H-3: the five clauses are ours and nothing says the world's records meet them
