# T-36 LANE C — CLASSIFICATION TABLE — 2026-08-20
# RANGE: all FORMAL rows not in the other two ranges. Coverage check: 184 FORMAL rows total in
# ledger/status_ledger.tsv. By prefix: C=81; D+F+G+O=83; A=7, H=5, T=2 (T-I.4, T-III.6), PF=6.
# The named prefixes W-, X-, P-, E- contain ZERO FORMAL rows. This lane therefore covers the
# 20-row remainder A- + H- + T- + PF-, a clean three-way partition (81 + 83 + 20 = 184).
# ASSUMPTION TO VERIFY AT MERGE: lanes A and B cover exactly {C-*} and {D-*,F-*,G-*,O-*}.
# CLASS: THEOREM | EXACT | MEASURED | DEFINED. OWNER: ORIGINAL | BORROWED(owner) | ASSEMBLED(standard part; original part)
#
# ID	CLASS	OWNER	JUSTIFICATION	FLAG
A-EM	THEOREM	ASSEMBLED (standard: homological/CSS description of the Z_2 gauge code, record space = Z_1/B_1, Kitaev; original: the reading that EM supplies both boundary maps and the role-assignment)	written general proof (PROOF_V001 Thm B(ii)) valid for any closed orientable surface, with G-9's exact check as instance	—
A-GR	THEOREM	ASSEMBLED (standard: Thm A degeneracy 2^2g and Thm C local-triviality are Kitaev; Thm D splitting order is Bravyi-Hastings-Michalakis per PF-6's own attribution; original: B(iii) writer-via-intersection-pairing assembly and the Γ role-assignment)	rests on written general proofs Thms A, B(iii), C, D valid for all genus	—
A-AL	MEASURED	ASSEMBLED (standard: unrestricted-class n* = d is degenerate perturbation theory / Thm D; original: the restricted-class n* vs d separation measured on [[5,1,3]])	float exponents 2.0211/3.0036/3.0046 and 2.0389/4.9836/3.0118 on three small carriers, general n*-tracking claim inferred	—
T-I.4	MEASURED	ORIGINAL	chi = 0.908 with the other record at 0.00000000 (shift ~1e-16) on one carrier, one family of two; "records compose" is inferred from that instance	FLAG: ITEM is a TARGET question, not a claim — the STATUS should attach to the answer; single-carrier basis
T-III.6	MEASURED	ORIGINAL	the relative-arrow answer rests on F-19's measured one-wayness on a small carrier; the general "record is of the PAST because the arrow is relative" is inferred	FLAG: ITEM is a TARGET question at FORMAL; its resolution is an interpretive statement grounded in one measurement
A-EM2	EXACT	ASSEMBLED (standard: toric-code logicals are Wilson/'t Hooft loops on homology classes, Kitaev; original: the exhaustive weight-2 census establishing minimality of forming couplings)	complete enumeration of all 252 weight-2 Paulis on the one carrier, zero exceptions — exact of that object	—
A-EM3	MEASURED	ORIGINAL	the convergence claim (record, writer, minimal former in one class) is an inference from three independent results (a theorem, a measurement W-62, an exact census f10c); the row itself calls them measurements and the weakest input governs	—
A-EM4	EXACT	ASSEMBLED (standard: toric-code parameters d = L and 2 logical qubits, Kitaev; original: the extent/record-fraction/zero-local-content framing)	exact GF(2) ranks computed at L = 2..5, closed forms true of those objects	FLAG: the all-L claims ("grows without bound", "vanishes") are verified only at L = 2..5 — inference unless a proof of the closed forms is written
A-GR2	DEFINED	ORIGINAL	states what the program's claim IS (Γ supplies the channel; classical gravity is what Γ becomes at scale) — a role-assignment doctrine with an explicit withdrawal note, not itself a provable statement	FLAG: DEFINED-type claim-statement sitting at FORMAL; the homological-discriminator sub-claim (via O-20) is separately EXACT/MEASURED and could carry the FORMAL mark instead
PF-1	DEFINED	ORIGINAL	a completed editorial/restatement decision (A-PR re-worded in two tiers) — cannot be true or false	FLAG: process row at FORMAL; the GROUNDED boilerplate ("established about the five clauses") contradicts the row's content, which is an editorial act
PF-2	MEASURED	ASSEMBLED (standard: redundancy-of-fragments criterion is quantum Darwinism, Zurek; original: the dynamical before/after chi 0 -> 0.908 and fragment measurements 0.789/0.048/0.679 bits)	float measurements on a small carrier from which arrow-closure is inferred	—
PF-3	EXACT	ORIGINAL	the deciding computation is an exact count — 0 admissible flippers at 3x3 (fraction 0.22, control 768); Part A's Balance Lemma is a proved universal statement	FLAG: mixed-class row — contains a THEOREM-grade universal lemma plus an exact count; registrar may want to split
