ID	PHASE	TASK	STATUS	DONE_WHEN	DEPENDS	ROW	ORDER	CRIT
T-1	A  MAKE IT LEGIBLE	THE GLOSSARY. Map every program term to its standard name and owner — record = logical operator, writer = conjugate logical, channel = OURS coined 2026-08-19, Gamma = placeholder for (H_1,<,>). Mark each term BORROWED or OURS	DONE	GLOSSARY.md exists, every term in the anchor and the live claim documents appears in it, and each is marked BORROWED (with owner) or OURS		PF-11	1	yes
T-3	A  MAKE IT LEGIBLE	FIX O-19. record_model.py builds the *-algebra when the commutant needs only the generators. This is why it caps out at dim 32	DONE	the model computes the commutant from generators, validate_model.py still passes 12/12, and a dim-256 carrier completes		O-19	2	yes
T-2	A  MAKE IT LEGIBLE	ONE CURRENT STATEMENT OF THE PROCESS. The register is 6000+ lines and append-only; THE_CLAIM predates most of the work. Write the process as it now stands, in mapped terms	DONE	PROCESS_V002.md states the process end to end, every sentence cites a ledger row, and no withdrawn claim appears	T-1		3	
T-4	B  MAKE THE MODEL THE PROCESS MODEL	ADD THE ENVIRONMENT. The model has no bath, no coupling, no chi. Add them so formation is computable from (H, {L_k}, coupling)	DONE	model.formation(coupling) returns chi and reproduces F-20's 0.97527192 and O-18's three-row table	T-3	PF-10	4	yes
T-5	B  MAKE THE MODEL THE PROCESS MODEL	ADD THE CHANNEL CRITERION. G-16 — chi > 0 iff the coupling pairs oddly with the record's conjugate — is nowhere in the model or MODEL.md	DONE	model.channel(coupling, record) returns the pairing and predicts chi>0 correctly on all cycles of the 2x2 torus	T-4	PF-10	5	yes
T-6	B  MAKE THE MODEL THE PROCESS MODEL	MULTI-RECORD AND DEPENDENCIES. Extend independence() to report which records share a channel and which formation events interact	DONE	the model returns, for a family, which members can be formed without disturbing the others — measured, not asserted	T-5	PF-7	6	yes
T-7	B  MAKE THE MODEL THE PROCESS MODEL	VALIDATE THE FORMATION HALF. Every formation result in the register re-derived through the model rather than a one-off lane script	DONE	validate_model.py covers F-20, F-21, F-23, G-16, C-17, C-18 and passes	T-6	PF-10	7	
T-8	C  BREAK THE SINGLE CARRIER	CHOOSE THE SECOND CARRIER FAMILY. PF-3B failed because the bouquet has cosystole 1. Find a non-manifold with BOTH distances >= 2, or state why none is reachable	DONE	a named second carrier with both distances >= 2 is built and sealed, or O-14 is closed with a proof that none exists at reachable dimension	T-3	O-14	8	yes
T-13	C  BREAK THE SINGLE CARRIER	O-15. The bath is 3 qubits and chi(t) recurs. Show the arrow survives a bath large enough not to recur, and that redundancy evens out	DONE	chi(t) monotone to a plateau on a larger bath, with fragment redundancy measured	T-3	O-15	9	yes
T-9	C  BREAK THE SINGLE CARRIER	RE-RUN EVERY LOAD-BEARING ROW ON TWO CARRIERS -- REOPENED 2026-08-20 BY EXTERNAL REVIEW. Marked DONE while satisfying neither branch of its own DONE_WHEN: SINGLE-CARRIER appears zero times in the ledger and only ~24 of 162 rows cite two carriers. REPLICATE.md corrected in place	DONE	every PROVED row either cites two structurally different carriers or is explicitly marked SINGLE-CARRIER in the ledger	T-8	PF-8	10	yes
T-11	C  BREAK THE SINGLE CARRIER	PF-3B. Clause (v) under DEF-A on the second carrier — does admissible still give zero flippers?	DONE	the second carrier reproduces 0 admissible flippers against a nonzero any-unitary control	T-8	PF-3	11	
T-10	C  BREAK THE SINGLE CARRIER	PARAMETER INDEPENDENCE. Show no conclusion moves with beta, lambda, bath size or lattice size	DONE	a sweep table per PROVED row showing the conclusion invariant, with the noise floor printed beside every fit	T-9	PF-8	12	
T-12	D  CLOSE THE OPEN PHYSICS	PF-4. The necessary condition. C-4 is PARTIAL: a sufficient family and a proven non-CSS escape, no established necessary condition	DONE	either a condition covering both is stated and tested, or it is proved none narrower than the clauses exists		PF-4	13	
T-14	D  CLOSE THE OPEN PHYSICS	ALPHA'S ROLE, RESTATED AFTER PF-6. Theorem D's eps^d was rescoped to GENERIC single-site perturbations; the Z-only case gives eps^n*. Restate alpha's role in mapped terms	DONE	the alpha row states which perturbation class it holds for, with both exponents measured	T-1		14	
T-22	D  CLOSE THE OPEN PHYSICS	GIVE ALPHA REAL CONTENT (H-2). Nothing in the corpus is dimensionful and the fine structure constant is connected to no number. Either connect it or state plainly that 'alpha' names a generic coupling here	DONE	either a registered result in which alpha's VALUE matters, or an explicit statement in the anchor that alpha stands for a generic coupling strength			15	
T-20	E  THE CLAIM: DOES GRAVITY EMERGE?	DOES CLASSICAL GRAVITY EMERGE FROM RECORDS? Build a COLLECTIVE quantity from MANY records and ask whether it obeys anything Einstein-constraint-like — without importing the constraint (D-1 binds: the classical form may be recovered, never assumed or used as the test)	DONE	a many-record collective quantity is defined, computed, and either shown to satisfy a constraint of the right type or shown not to — with the classical form never used as a criterion	T-6, T-9, T-13		16	yes
T-21	E  THE CLAIM: DOES GRAVITY EMERGE?	REVISIT X-2 AT THE COLLECTIVE LEVEL. The record-level reclassification stands; the emergence question it foreclosed does not	DONE	X-2 carries an explicit note distinguishing the record-level question (category error, closed) from the collective one (open, = T-20)	T-20		17	
T-15	F  WRITE AND CHECK THE PROOF	THE THREE ROLES AS ONE STATEMENT. EM supplies the complex and the record; Gamma supplies space, writer, protection and channel; alpha sets the cost	DONE	A-PR restated with every clause citing a two-carrier row, and no clause resting on a WITHDRAWN or PARTIAL row	T-9, T-14, T-20, T-23		18	yes
T-16	F  WRITE AND CHECK THE PROOF	WRITE THE PROOF -- ARCHITECTURE FIXED BY THE PRINCIPAL 2026-08-20: THE MODEL IS THE OVERALL REPRESENTATION OF THE PROOF. PROOF_V002.md is the narration of project_model: every section a model layer, every claim a model function with its validator gate, its grounding (D-25 provenance and pinned sources), and its ledger row; no step outside the model	DONE	PROOF_V002.md, every step citing a ledger row, no step resting on a single carrier unless marked	T-15, T-23		19	yes
