ID	VERDICT	CARRIERS	EVIDENCE
A-AL	SINGLE-CARRIER	toric-2x2	LANE_T14_ALPHA/t14_alpha.txt:4-7: toric 2x2 [[8,2,2]], [[5,1,3]] non-CSS, [[7,1,3]] Steane, exponents fitted on each; [[5,1,3]] has no canonical token [2nd carrier refuted: n*≠d separation exists only on [[5,1,3]] (no token). On toric-2x2 and steane-713 n*=d, so fits cannot discriminate the row's claim from eps^d; READ even misstates Steane. Effectively one carrier.]
A-EM	SINGLE-CARRIER	toric-2x2	REGISTER_V001.md:5431-5476 (G-9 match 1.0; f10c 252 weight-2 Paulis, toric 2x2); Thm B(ii) proof general but instanced only on torus family; LANE_EM_EXTENT/em_extent.txt
A-EM2	SINGLE-CARRIER	toric-2x2	LANE_F7_OCCUPANCY/f10c_whatformsit.txt:4 (8 of 252 weight-2 Paulis, n=8 toric 2x2); GROUNDED tag itself says 'one carrier'
A-EM3	SINGLE-CARRIER	toric-2x2	REGISTER_V001.md:5455-5476; LANE_W62_CREATION/w62_creation.OUT.txt (torus 2x2); f10c on toric 2x2. All three same-kind measurements (Thm B ii, W-62, f10c) sit on the one torus carrier
A-EM4	SINGLE-CARRIER	toric-2x2	LANE_EM_EXTENT/em_extent.txt: GF(2) ranks at torus L=2..5 — sizes of one carrier
A-GR	SINGLE-CARRIER	toric-2x2	Thms A/B(iii)/C/D all toric-family (any genus); LANE_G1_RECORD_COUNT/g1_count.OUT.txt + g1b_groundspace.OUT.txt (torus 2x2, 2x3 only)
C-1	SINGLE-CARRIER	toric-2x2	LANE_P1_DEFINITION/p1_definition.OUT.txt (toric-code record; broken-degeneracy control fails clause iii); forward is definitional, computed on toric only
C-10	NOT-CARRIER-SHAPED		Abstract iff theorem (BKNPV); 6/6 + 32-system brute force on GENERIC random H,L systems dims 4-8, no program carrier (REGISTER_V001.md:5633; LANE_O1_CONVERSE/o1_converse_theorem.txt, o1_lemma_check.txt)
C-11	NOT-CARRIER-SHAPED		LANE_O1_CONVERSE/o1_gap_b_flippability.txt:24 (2.000116 control on generic (p,q) blocks); model validation C3/C5/C7. General trace-balance theorem over all dimensions; checks are deliberately carrier-free
C-12	SINGLE-CARRIER	toric-2x2	LANE_O1_CONVERSE/o1_converse_theorem.txt (210/210 on abstract D=4..8 block systems, carrier-free); o1_toric_pauli.txt (criterion run on toric L=2..4 — the only canonical carrier touched)
C-13	SINGLE-CARRIER	toric-2x2	LANE_O4_ADMISSIBLE/o4_toric.txt (2x2), o4_L3.txt (3x3 torus; weight-3=d writer = product of 3 single-edge ops); LANE_O4_VERIFY — toric only
C-16	NOT-CARRIER-SHAPED		LANE_PF3_ADMISSIBLE2/pf3_admissible.txt part A header: 'ARBITRARY (H,{L_k}) -- no carrier at all'; nine abstract spectra; carrier-freeness of the definitional lemma is the claim itself
C-17	TWO-CARRIER	toric-2x2; bouquet	LANE_T9_CARRIERINDEP/t9_sweep.txt: commutant checks pass on toric [[8,2,2]] and non-manifold capped torus [[8,1,2]] (bouquet token); also [[4,2,2]] (no canonical token)
C-18	SINGLE-CARRIER	toric-2x2	chi triple 0/0.217/0.908 toric-only (model/validate_formation.txt); chi=0 exclusion computed on all three: LANE_T9_CARRIERINDEP/t9_sweep.txt (A [[8,2,2]], B torus+cap [[8,1,2]] non-manifold, C [[4,2,2]]); REGISTER_V001.md:7088-7106 [2nd carrier refuted: t9_sweep ran toric-2x2, torus+cap [[8,1,2]], [[4,2,2]] — not steane-713 or bouquet. Bouquet was disqualified in T-8 (d=1); Steane never ran C-18. Claimed carrier list does not match evidence.]
C-19	SINGLE-CARRIER	toric-2x2	LANE_T9_CARRIERINDEP/t9_sweep.txt: composition on toric + [[4,2,2]] only ([[8,1,2]] n/a, one logical); [[4,2,2]] has no canonical token, same abelian-stabilizer mechanism
