# T-36 CROSSCHECK — CONSOLIDATED CLASSIFICATION TABLE (all 184 FORMAL rows)
# Crosschecker lane: LANE_T36_D_CHECK. Date 2026-08-20.
# Format: ID | CLASS | OWNER | justification | flag(optional)
# COVERAGE: 184 FORMAL rows in ledger/status_ledger.tsv (not 162 — see FLAG-1). All covered exactly once below.
#   Lane overlaps resolved: 7 A-* rows classified by lanes 1+3 (all agreed), 5 H-* rows by lanes 2+3
#   (agreed except H-4, adjudicated MEASURED). One crosschecker override: T-III.6 (lane 3 said MEASURED).
A-EM | THEOREM | ASSEMBLED (Wegner/Wilson + Kitaev lattice-gauge chain complex; EM's-own-complex consolidation original) | written general proof PROOF_V001 Thm B(ii) for any closed orientable surface; G-9's exact match is an instance |
A-GR | THEOREM | ASSEMBLED (Kitaev Thm A/C; Bravyi-Hastings-Michalakis splitting per PF-6; B(iii) pairing + R1-R3 packaging original) | warranted by written Thms A, B(iii), C, D valid for all genus |
A-AL | MEASURED | ASSEMBLED (order-n* degenerate perturbation theory standard; n*-vs-d separation on [[5,1,3]] original) | fitted exponents 2.02/3.00/4.98 on three small carriers grounding the general n* law |
A-EM2 | EXACT | ASSEMBLED (Wilson/'t Hooft loop logicals are Kitaev; exhaustive weight-2 census original) | complete enumeration of all 252 weight-2 Paulis on one carrier, zero exceptions |
A-EM3 | MEASURED | ORIGINAL | same-kind identification inferred from three independent finite results; weakest input governs |
A-EM4 | EXACT | ASSEMBLED (d=L and 2 logicals are Kitaev; extent/fraction/zero-local-content triple original) | exact GF(2) ranks at L=2..5, true of those objects | FLAG: all-L wording outruns verified range unless closed forms get a written proof
A-GR2 | DEFINED | ORIGINAL | programmatic role-assignment (gravity is what Gamma becomes at scale) with withdrawal note — not itself provable | FLAG: claim-statement at FORMAL; GROUNDED "established" misdescribes an aspiration; O-20 sub-claim separately classed
C-1 | THEOREM | ORIGINAL | forward proved (P-1); repaired converse is C-12's theorem |
C-3 | THEOREM | ASSEMBLED (1-form/order-d splitting standard Bravyi-Terhal-type; Thm D proof program's own) | Thm D written; slope 2.000 corroborates |
C-4 | EXACT | ORIGINAL | 5 explicit finite counterexamples with verified writers kill the necessity claim |
C-5 | THEOREM | BORROWED (Kitaev — 2^2g degeneracy, area-independence) | Thm A written; standard restatement in record vocabulary |
C-6 | THEOREM | ASSEMBLED (standard stabiliser logical non-locality; homological route via universal coefficients per G-13) | Thm B written proof |
C-7 | THEOREM | BORROWED (Knill-Laflamme / standard code distance) | Thm C written; standard distance guarantee restated |
C-8 | MEASURED | ASSEMBLED (order-n* mechanics standard; restricted-class n*>d finding original) | general law inferred from numerics on three carriers (T-14) |
C-9 | THEOREM | BORROWED (standard *-algebra commutant fact — Frigerio / Blume-Kohout-Ng-Poulin-Viola framing) | one-line operator-algebra lemma, general |
C-10 | THEOREM | ASSEMBLED (BKNPV information-preserving-structures machinery; E_lambda iff formulation original) | stated as iff theorem; 6/6 brute force corroborates |
C-11 | THEOREM | ORIGINAL | iff plus odd-dimension corollary from trace balance, general over dimensions |
C-12 | THEOREM | ORIGINAL | repaired converse iff over the clause framework; 210/210 exhaustive corroboration |
C-13 | THEOREM | ORIGINAL | corrected P-3 general statement; (v') refuted by the program's own Thm D plus explicit weight-3 witness |
C-15 | DEFINED | ORIGINAL | which-clauses-are-carrier-free plus code-enforcement decision — methodological | FLAG: DEFINED row at FORMAL
C-16 | THEOREM | ORIGINAL | balance-lemma equivalence with proof, nine-spectrum verification, proved-bound control |
C-17 | EXACT | ORIGINAL | commutant dimensions computed exactly on three finite carriers |
C-18 | MEASURED | ASSEMBLED (weight<d triviality is Knill-Laflamme; chi discrimination original) | chi 0/0.217/0.908 ground the gauge+locality exclusion |
C-19 | MEASURED | ORIGINAL | composition/non-interference inferred from chi values on two small carriers |
C-20 | EXACT | ORIGINAL | flipper counts 16/1152/3120/0 are exact enumerations | FLAG(minor): fraction-threshold reading inferred from two sizes
C-21 | MEASURED | ORIGINAL | 28-setting chi sweep with noise floors grounding no-free-parameter claim |
C-22 | EXACT | ORIGINAL | 5 explicit structureless systems with verified writers — exact counterexamples |
C-23 | MEASURED | ORIGINAL | weights and 4.000-vs-0.000 on one carrier; minimality-selects-flat is the inferred general claim |
C-24 | EXACT | BORROWED (Pauli/stabiliser algebra [Gottesman] — X-type logicals commute identically) | exact zeros across four codes | FLAG: D-10-shaped — "NECESSARILY" warranted by a check that could not fail
C-25 | MEASURED | ORIGINAL | selector comparison with analytic pi/sqrt(2) minimum confirmed numerically; every-selector claim inferred from tested set |
C-26 | THEOREM | ORIGINAL | general argument from clauses (iii)/(iv) for flat-writer availability; self-scoped to writers |
C-27 | MEASURED | ORIGINAL | curvature/record independence measured across flux sectors on the toric carrier |
C-28 | EXACT | BORROWED (Wegner/Wilson — product of all plaquettes is the identity; Bianchi reading is program framing) | residual exactly 0; property of incidence structure per the row itself |
